title,img,writer,price,uri
ΕΦ' ΕΝΟΣ ΓΙΓΝΕΣΘΑΙ;,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1226.jpg,ΑΝΘΟΛΟΓΙΑ,"12,60 €|14,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ef-enos-gignesthai.html
ΠΟΙΗΤΙΚΑ ΕΡΓΑ ΚΑΙ ΑΘΗΣΑΥΡΙΣΤΑ ΠΕΖΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1183.jpg,ΠΑΠΑΝΙΚΟΛΑΟΥ ΜΗΤΣΟ,"19,80 €|22,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poiitika-erga-kai-athisayrista-peza.html
ΑΥΤΗΝ ΤΗΝ ΑΝΟΙΞΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1187_1.jpg,ΑΛΑΝΤΑΣΗ ΕΣΣΑΜ-ΘΕΟΔΩΡΟΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/aytin-tin-anoixi.html
ΠΑΛΙΜΨΗΣΤΟ ΠΟΛΕΜΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1188.jpg,ΠΑΝΔΗΣ ΒΑΣΙΛΗΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/palimpsisto-polemos.html
ΕΝ ΑΓΝΟΙΑ ΜΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4647.png,ΣΑΜΟΙΛΗΣ Δ. ΚΩΝΣΤΑΝΤΙΝΟΣ,"13,05 €|14,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/en-agnoia-moy.html
ΑΨΙΘΙΑ ΜΕ ΜΕΛΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1266.jpg,ΤΣΙΚΑΡΔΑΝΗ ΟΛΥΜΠΙΑ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/apsithia-me-meli.html
ΑΝΗΜΕΡΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1146.jpg,ΚΑΛΛΕΡΓΗ ΛΕΝΑ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/animero.html
ΕΚΠΝΟΕΣ ΝΕΡΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/9/7/9786182080481.png,ΣΙΓΑΛΟΥ ΕΛΕΝΗ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ekpnoes-neroy.html
ΕΥΘΡΑΥΣΤΟΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1144_3.jpg,ΦΕΓΓΑΡΟΥ ΘΕΟΛΟΓΙΑ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/eythrayston.html
ΕΚΔΟΧΙΚΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/e/k/ekdoxika.jpg,ΛΕΙΒΑΔΑΣ ΓΙΑΝΝΗΣ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ekdochika.html
ΔΙΑΛΟΓΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1144.jpg,ΓΡΑΒΑΝΗΣ ΧΡΗΣΤΟΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/dialogos-html.html
ΣΚΑΡΤΗ ΠΡΑΜΑΤΕΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1116_1.jpg,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΝΤΕΜΗΣ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/skarti-pramateia.html
ΕΚΘΕΣΗ ΨΥΧΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1117.jpg,ΒΑΣΙΛΕΙΑΔΟΥ ΣΟΦΙΑ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ekthesi-psychis.html
ΕΝΗΛΙΚΑ ΑΙΜΟΣΦΑΙΡΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1681.jpg,ΔΟΥΒΗ ΕΥΓΕΝΙΑ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/enilika-aimosfairia.html
ΟΝΕΙΡΟΨΙΘΥΡΙΣΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1682.jpg,ΣΥΡΟΠΟΥΛΟΥ Ν. ΕΥΑΓΓΕΛΙΑ,"9,87 €|10,97 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/oneiropsithyrismata.html
δραπετησ ερωτασ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_5787.png,ΤΣΟΥΡΛΑΚΗ ΕΛΕΝΗ,"6,68 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/drapetis-erotas.html
ΗΜΕΡΕΣ ΚΑΛΟΣΥΝΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4166.png,ΓΛΥΝΙΑΔΑΚΗ ΚΡΥΣΤΑΛΛΗ,"9,80 €|14,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/imeres-kalosynis.html
ΦΘΙΝΟΠΩΡΩ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4172_2.png,ΚΟΥΚΟΥΛΑ ΣΟΦΙΑ,"6,30 €|7,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/fthinoporo-html.html
ΤΑ ΝΗΣΙΑ Ι,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1074.jpg,ΠΗΣ ΒΑΣΙΛΗΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ta-nisia-i.html
ΑΚΡΟΒΑΤΕΣ ΤΗΣ ΕΠΟΜΕΝΗΣ ΜΕΡΑΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1075.jpg,ΜΠΕΡΟΥΚΑΣ ΓΙΑΝΝΗΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/akrobates-tis-epomenis-meras.html
ΙΣΩΣ Ο ΘΑΝΑΤΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1076.jpg,ΜΑΡΚΟΓΙΑΝΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,"11,44 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/isos-o-thanatos.html
ΠΑΓΩΤΟ ΕΣΚΙΜΩΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/d/u/dunning_cover_fb.jpg,DUNNING NORMA/ ΝΤΑΝΙΝΓΚ ΝΟΡΜΑ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/pagoto-eskimoon.html
ΕΙΚΟΣΙ ΕΡΩΤΙΚΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/9/7/9786185577544.png,NERUDA PABLO/ ΝΕΡΟΥΔΑ ΠΑΜΠΛΟ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/eikosi-erotika-poiimata.html
Η ΣΥΝΕΧΕΙΑ ΤΟΥ ΚΟΣΜΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4166_1.png,ΖΙΟΒΑΣ ΓΙΩΡΓΟΣ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-synecheia-toy-kosmoy.html
Η ΚΑΤΑΓΩΓΗ ΤΩΝ ΗΦΑΙΣΤΕΙΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1034.jpg,ΝΙΚΗΦΟΡΟΥ ΤΟΛΗΣ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-katagogi-ton-ifaisteion.html
ΜΕΤΑ ΤΟ ΩΜΕΓΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1004.jpg,ΕΥΑΓΓΕΛΙΟΥ ΒΑΓΓΕΛΗΣ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/meta-to-omega.html
ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_896.jpg,ΒΟΥΡΛΟΥΜΗ ΕΙΡΗΝΗ,"11,70 €|13,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poiimata-html-html-html.html
ΒΑΡΔΑΡΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/3/2/324629838_586417042922650_1944614601234553659_n-2.jpg,ΦΙΛΟΛΟΓΙΚΟΣ ΟΜΙΛΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/bardaris.html
ΜΠΑΓΙΑΤΙΚΑ ΚΑΙ ΑΛΛΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_998.jpg,ΑΛΕΞΙΟΥ ΒΑΣΙΛΗΣ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/mpagiatika-kai-alla-poiimata.html
ΠΥΡΟΦΑΝΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_857.jpg,ΠΑΤΟΥΛΗ ΘΕΟΦΑΝΗ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/pyrofani.html
ΑΡΧΙΖΩ ΜΕ ΤΟ Σ' ΑΓΑΠΩ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4367_1.png,ΑΝΕΣΤΟΠΟΥΛΟΣ ΘΑΝΟΣ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/archizo-me-to-s-agapo.html
ΠΛΑΣΙΜΠΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_838.jpg,ΠΑΠΑΝΙΚΟΛΑΟΥ ΑΓΓΕΛΙΝΑ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/plasimpo.html
ΒΑΣΙΚΕΣ ΑΡΧΕΣ ΚΗΠΟΥΡΙΚΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_839_2.jpg,ΑΡΑΠΑΚΗ ΑΘΗΝΑ,"8,59 €|9,54 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/basikes-arches-kipoyrikis.html
ΤΟ ΑΣΜΑ ΤΟΥ ΣΦΑΓΙΑΣΜΕΝΟΥ ΕΒΡΑΪΚΟΥ ΛΑΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_836_2.jpg,IKATZENELSON ITZHAK/ ΚΑΤΣΝΕΛΣΟΝ ΓΙΤΣΧΑΚ,"12,15 €|13,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/to-asma-toy-sfagiasmenoy-ebra-koy-laoy.html
ΠΟΙΗΜΑ(ΤΑ),https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_836_3.jpg,ΠΙΧΛΕΡ ΜΙΧΑΛΗΣ,"14,40 €|16,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poiima-ta.html
ΑΝΘΟΛΟΓΙΟ ΞΕΝΟΓΛΩΣΣΗΣ ΠΟΙΗΣΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_860.jpg,ΑΝΘΟΛΟΓΙΑ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/anthologio-xenoglossis-poiisis.html
ΔΙΧΩΣ ΕΑΡ ΝΑ ΓΙΝΕΙ ΠΟΤΕ...,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/p/e/petrakh_pote.jpg,ΠΕΤΡΑΚΗ Ε. ΑΝΝΑ,"10,49 €|11,66 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/dichos-ear-na-ginei-pote.html
ΓΛΥΚΟΘΥΜΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/_/-/_-_jpg.jpg,PUCHNER WALTER/ ΠΟΥΧΝΕΡ ΒΑΛΤΕΡ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/glykothymia.html
ΡΟΥΜΙ. ΤΑ ΠΟΙΗΜΑΤΑ ΚΑΙ Η ΔΙΔΑΣΚΑΛΙΑ ΤΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/_/-/_-_-_.png,ΣΥΛΛΟΓΙΚΟ ΕΡΓΟ,"13,41 €|14,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/roymi-ta-poiimata-kai-i-didaskalia-toy.html
ΤΟ ΕΠ7Α,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/e/p/epta_2.jpg,ΒΟΛΚΩΦ ΘΕΟΔΟΣΗΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-ep7a.html
ΖΩΝΤΕΣ ΚΑΙ ΟΜΩΣ ΤΕΘΝΕΩΤΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4127.png,ΛΕΡΟΥΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,"8,10 €|9,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/zontes-kai-omos-tethneotes.html
ΤΑ ΕΥΡΙΣΚΟΜΕΝΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4430.png,ΚΑΛΙΝΤΕΡΗΣ ΔΙΟΝΥΣΙΟΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ta-eyriskomena-html.html
ΓΕΝΙΚΟ ΑΣΜΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4020.png,NERUDA PABLO/ ΝΕΡΟΥΔΑ ΠΑΜΠΛΟ,"36,00 €|40,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/geniko-asma-html.html
ΓΙΑ ΤΟΥΣ ΑΓΝΩΣΤΟΥΣ ΣΦΑΓΜΕΝΟΥΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4021.png,ΤΡΙΑΡΙΔΗΣ ΘΑΝΑΣΗΣ,"8,10 €|9,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/gia-toys-agnostoys-sfagmenoys.html
Ω! ΨΗΛΟΣ ΝΑΝΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/n/a/nanos_cover_a_.jpg,ΑΛΕΞΑΝΔΡΟΠΟΥΛΟΥ ΕΥΤΥΧΙΑ,"11,45 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/o-psilos-nanos.html
ΠΟΙΗΤΙΚΗ ΔΙΛΟΓΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_1051_1.jpg,ΜΠΕΝΟΣ ΜΑΚΗΣ,"11,45 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poiitiki-dilogia.html
ΠΕΡΙΗΓΗΣΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_738_1.jpg,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΠΑΥΛΟΣ,"5,72 €|6,36 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/periigisi.html
ΑΠΟΝΤΕΣ ΤΟΥ ΜΕΘΟΔΕΥΜΕΝΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_727.jpg,ΧΑΤΖΗΓΕΩΡΓΙΟΥ ΖΩΗ,"9,90 €|11,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/apontes-toy-methodeymenoy.html
Η ΠΙΚΡΗ ΓΕΩΓΡΑΦΙΑ ΤΟΥ ΖΕΣΟΥΣ ΣΟΖΙΝΙΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_726.jpg,ΦΡΟΥΖΑΚΗΣ ΚΩΣΤΑΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-pikri-geografia-toy-zesoys-sozinio.html
ΑΠΑΝΤΑ ΤΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_4_5.jpeg,POE EDGAR-ALLAN/ ΠΟΟΥ ΕΝΤΓΚΑΡ-ΑΛΑΝ,"18,00 €|20,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/apanta-ta-poiimata.html
ΙΣΤΟΡΙΕΣ ΑΠΟ ΕΝΑΝ ΤΟΠΟ ΚΙ ΕΝΑΝ ΧΡΟΝΟ ΜΑΓΙΚΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_717_3.jpg,HEARN LAFCADIO/ ΧΕΡΝ ΛΕΥΚΑΔΙΟΣ,"6,93 €|7,70 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/istories-apo-enan-topo-ki-enan-chrono-magiko.html
ΤΟ ΑΛΛΟΥ ΤΩΝ ΛΕΞΕΩΝ ΚΑΙ ΑΛΛΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3986_1.png,KOLTZ ANISE/ ΚΟΛΤΖ ΑΝΙΣ,"13,50 €|15,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/to-alloy-ton-lexeon-kai-alla-poiimata.html
VALITUT RUNOT,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/v/a/valitut_runot.jpg,KAVAFIS KONSTANTINOS,"13,50 €|15,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/valitut-runot.html
Η ΠΟΛΙΤΕΙΑ ΤΩΝ ΓΑΤΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_712.jpg,ΠΑΠΑΔΑΤΟΣ Σ. ΓΙΑΝΝΗΣ,"13,50 €|15,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-politeia-ton-gaton.html
ΠΕΡΙΓΡΑΦΕΣ ΤΟΥ ΑΝΕΚΠΛΗΡΩΤΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/m/p/mpaltas_poihsh.jpg,ΜΠΑΛΤΑΣ ΔΗΜΗΤΡΗΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/perigrafes-toy-anekplirotoy.html
ΑΝΘΡΩΠΟΣ ΕΔΩ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/a/n/anthroposedoex.jpg,ΘΕΟΔΟΤΟΥ ΣΤΕΦΗ,"13,50 €|15,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/anthropos-edo.html
ΥΜΝΟΣ ΕΙΣ ΤΗΝ ΕΛΕΥΘΕΡΙΑΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_660.jpg,ΣΟΛΩΜΟΣ ΔΙΟΝΥΣΙΟΣ,"5,94 €|6,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ymnos-eis-tin-eleytherian.html
ΟΞΥΓΟΝΟ ΔΥΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_717_1.jpg,ΖΗΣΙΜΟΠΟΥΛΟΣ ΓΙΩΡΓΟΣ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/oxygono-dyo.html
ΠΟΡΕΙΕΣ ΚΑΤΑΔΥΣΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/p/o/poreies.png,ΑΛΕΞΟΠΟΥΛΟΥ ΧΡΥΣΑ,"8,10 €|9,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poreies-katadysis.html
ΥΜΝΟΣ ΕΙΣ ΤΗΝ ΕΛΕΥΘΕΡΙΑΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3342.jpg,ΣΟΛΩΜΟΣ ΔΙΟΝΥΣΙΟΣ,"5,94 €|6,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ymnos-eis-tin-eleytherian-html.html
ΕΥΤΟΠΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_653.jpg,"ΓΑΡΑΝΤΟΥΔΗΣ ΕΥΡΙΠΙΔΗΣ, ΚΟΛΟΤΟΥΡΟΥ ΣΟΦΙΑ","10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/eytopia.html
ΤΑ ΧΡΟΝΙΑ ΠΟΥ ΘΑ ΡΘΟΥΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_613.jpg,ΔΑΣΚΑΛΟΠΟΥΛΟΣ ΔΗΜΗΤΡΗΣ,"16,92 €|18,80 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ta-chronia-poy-tha-rthoyn.html
ΑΝΤΙΔΩΡΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/g/o/gountinakis_antidwro.jpg,ΓΚΟΥΝΤΙΝΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ,"8,91 €|9,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/antidwro-html.html
ΠΑΡΑΠΕΡΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/d/r/drosakis_parapera.jpg,ΔΡΟΣΑΚΗΣ ΝΙΚΟΣ,"8,91 €|9,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/parapera.html
OUTSIDER,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/k/o/koukis_outsider.jpg,ΚΟΥΚΗΣ ΧΡΗΣΤΟΣ,"8,55 €|9,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/outsiderk-html.html
ΦΕΓΓΙΤΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_608.jpg,ΜΕΤΑΞΑΣ ΓΙΑΝΝΗΣ,"11,97 €|13,30 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/feggites.html
ΟΜΟΡΦΗ Η ΥΦΗΛΙΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_604.jpg,ΣΑΜΨΩΝ Δ. Ρ.  ΝΙΚΟΛΑΣ,"9,90 €|11,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/omorfi-i-yfilios.html
ΔΩΔΕΚΑ ΑΡΧΑΙΕΣ ΕΠΙΣΤΟΛΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_606.jpg,ΠΙΤΤΑΣ ΑΝΤΡΕΑΣ,"12,60 €|14,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/dodeka-archaies-epistoles.html
ΥΠΕΡΗΧΟΙ ΣΥΜΠΑΝΤΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_577.jpg,ΚΑΤΡΑΜΑΔΑΣ Ν. ΖΑΦΕΙΡΗΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/yperichoi-sympantos.html
