title,img,writer,price,uri
Η ΑΝΔΡΟΜΑΧΗ ΟΤΑΝ ΛΙΩΣΟΥΝ ΟΙ ΠΑΓΟΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3795.jpg,ΚΑΡΑΓΕΩΡΓΙΟΥ ΤΑΣΟΥΛΑ,"8,91 €|9,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-andromachi-otan-liosoyn-oi-pagoi.html
FLORAL,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/l/floral_1.jpg,ΣΚΟΥΤΑΣ ΝΙΚΟΣ,"8,55 €|9,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/floral.html
ΘΑ ΠΕΤΑΞΩ ΨΗΛΟΤΕΡΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3810.jpg,AMIRI PARWANA/ ΑΜΙΡΙ ΠΑΡΒΑΝΑ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/tha-petaxo-psilotera.html
ΕΝΕΡΓΗΤΙΚΗ ΦΩΝΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3772_3.jpg,ΜΙΧΑΗΛΙΔΗΣ ΤΑΣΟΣ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/energitiki-foni.html
Ο ΔΡΟΜΟΣ ΠΟΥ ΔΙΑΝΥΘΗΚΕ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6708_3.png,PAWLIKOWSKA-JASNORZEWSKA MARIA/ ΠΑΒΛΙΚΟΦΣΚΑ-ΓΙΑΣΝΟΖΕΦΣΚΑ ΜΑΡΙΑ,"12,60 €|14,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/o-dromos-poy-dianythike.html
ΠΟΙΗΣΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3760.jpg,BIRJUKOV SERGEJ/ ΜΠΙΡΙΟΥΚΟΦ ΣΕΡΓΚΕΙ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/poiisi-html-html.html
ΩΡΑ 09:36 π.μ. ΣΥΝΕΧΙΖΟΥΜΕ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6696.png,ΣΤΕΡΓΙΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ora-09-36-p-m-synechizoyme.html
ACCORDION,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/a/c/accordion.png,ΖΕΦΗ ΔΑΡΑΚΗ,"9,45 €|10,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/accordion.html
ΘΕΛΩ ΤΟ ΣΩΜΑ ΜΟΥ ΠΙΣΩ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3732.jpg,ΠΑΛΟΥΚΑΣ ΑΡΓΥΡΗΣ,"6,30 €|7,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/thelo-to-soma-moy-piso.html
ΣΤΗ ΔΙΝΗ ΤΟΥ ΕΡΩΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3716.jpg,ΜΠΡΟΔΗΜΑ ΝΑΝΑ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/sti-dini-toy-erota.html
